entryID,name,author,material,condition,price
b86,Marple: Twelve New Mysteries,Agatha Christie and Alyssa Cole and Lucy Foley and Elly Griffiths and Natalie Haynes and Jean Kwok,Hardcover,New,$30.00
b87,Dreadful Splendor,BR Myers,Paperback,Used,$16.99
b88,Guest List,Lucy Foley,Not Specified,Used,$9.99
b89,Murder of Roger Ackroyd A Hercule Poirot Mystery,Agatha Christie,Paperback,Used,$9.99
b90,Wrong Place Wrong Time,Gillian McAllister,Hardcover,Used,$28.99
b91,Wrong Place Wrong Time,Gillian McAllister,Paperback,New,$18.99
b92,The Trespasser,Tana French,Paperback,Used,$18.00
b93,The Likeness,Tana French,Paperback,Used,$18.00
b94,Faithful Place,Tana French,Paperback,Used,$18.00
b95,Broken Harbor,Tana French,Paperback,Used,$18.00
b96,The Secret Place,Tana French,Paperback,Used,$18.00
b97,The Girl Who Kicked the Hornets Nest,Stieg Larsson and Reg Keeland,Hardcover,Used,$27.95
b98,Sharp Objects,Gillian Flynn,Paperback,Used,$17.00
b99,Dark Places,Gillian Flynn,Paperback,Used,$17.00
b100,The Girl With The Dragon Tattoo (Millenium #1),Stieg Larsson,Paperback,Used,$18.00
b101,Girl Who Played with Fire,Stieg Larsson,Paperback,Used,$18.00
b102,Girl with the Dragon Tattoo,Stieg Larsson,Not Specified,Used,$7.99
b103,Girl Who Played with Fire,Stieg Larsson,Not Specified,Used,$7.99
b104,Gone Girl,Gillian Flynn,Hardcover,Used,$28.99
b105,Gone Girl,Gillian Flynn,Paperback,Used,$18.00
b106,A Fatal Grace: Chief Inspector Gamache 2,Louise Penny,Paperback,Used,$17.99
b107,Still Life,Louise Penny,Paperback,Used,$17.99
b108,The Cruelest Month: Chief Inspector Gamache 3,Louise Penny,Paperback,Used,$17.99
b109,A Rule Against Murder: Chief Inspector Gamache 4,Louise Penny,Paperback,Used,$17.99
b110,Bury Your Dead: Chief Inspector Gamache 6,Louise Penny,Paperback,Used,$17.99
b111,Still Life,Still Life: Chief Inspector Gamache 1,Not Specified,Used,$7.99
b112,One for the Money: Stephanie Plum 1,Janet Evanovich,Not Specified,Used,$8.99
b113,The Cuckoo's Calling: Cormoran Strike 1,Robert Galbraith,Hardcover,Used,$29.00
b114,The Cuckoo's Calling: Cormoran Strike 1,Robert Galbraith,Paperback,Used,$18.99
b115,The Cuckoo's Calling: Cormoran Strike 1,Robert Galbraith,Paperback,Used,$9.99
b116,Ink Black Heart,Robert Galbraith,Hardcover,Used,$32.00
b117,Every Man a King: A King Oliver Novel,Walter Mosley,Hardcover,New,$28.00
b118,Desert Star,Michael Connelly,Hardcover,Used,$29.00
b119,Resurrection Men,Ian Rankin,Not Specified,Used,$6.99
b120,All That Is Mine I Carry With Me,William Landay,Hardcover,Used,$28.99
b121,The Crow Girl,Erik Axl Sund,Paperback,Used,$20.00
b122,The Bat (Harry Hole #1),Jo Nesbø,Paperback,Used,$17.00
b123,Shutter Island,Dennis Lehane,Not Specified,Used,$7.99
b124,Sweetness at the Bottom of the Pie,Alan Bradley,Paperback,Used,$18.00
b125,Da Vinci Code,"Brown, Dan",Hardcover,Used,$35.00
b126,While Justice Sleeps,Stacey Abrams,Hardcover,Used,$28.00
b127,Rogue Justice A Thriller,Stacey Abrams,Hardcover,Used,$29.00
b128,Boys from Biloxi,John Grisham,Hardcover,Used,$29.95
b129,Book of Cold Cases,Simone St James,Paperback,New,$17.00
b130,Tell No One,Harlan Coben,Not Specified,Used,$5.95
b131,Persuader: Jack Reacher 7,Lee Child,Not Specified,Used,$7.99
b132,The Enemy: Jack Reacher 8,Lee Child,Not Specified,Used,$7.99
b133,The Hard Way: Jack Reacher 10,Lee Child,Not Specified,Used,$6.95
b134,One Shot: Jack Reacher 9,Lee Child,Not Specified,Used,$7.99
b135,Pipsqueak,Brian Wiprud,Not Specified,Used,$7.99
b136,Nothing to Lose: Jack Reacher 12,Lee Child,Not Specified,Used,$9.99
b137,61 Hours: Jack Reacher 14,Lee Child,Not Specified,Used,$9.99
b138,Native Tongue,Carl Hiaasen,Not Specified,Used,$8.00
b139,The Black Ice: Harry Bosch 2,Michael Connelly,Not Specified,Used,$7.99
b140,The Pillars of the Earth,Ken Follett,Paperback,Used,$24.95
b141,Echo Burning: Jack Reacher 5,Lee Child,Not Specified,Used,$7.99
b142,Killing Floor: Jack Reacher 1,Lee Child,Not Specified,Used,$7.99
b143,Die Trying: Jack Reacher 2,Lee Child,Not Specified,Used,$9.99
b144,Tripwire: Jack Reacher 3,Lee Child,Not Specified,Used,$9.99
b145,Running Blind: Jack Reacher 4,Lee Child,Not Specified,Used,$9.99
b146,Echo Burning: Jack Reacher 5,Lee Child,Not Specified,Used,$9.99
b147,Killing Floor: Jack Reacher 1,Lee Child,Not Specified,Used,$9.99
b148,Girls Like Us,Cristina Alger,Paperback,Used,$17.00
b149,The Mysterious Affair at Styles: Hercule Poirot 1,Agatha Christie,Paperback,New,$10.00
b150,Girl Waits with Gun,Amy Stewart,Paperback,Used,$15.99
b151,Gone Girl,Gillian Flynn,Not Specified,Used,$9.99
b152,Beware the Woman,Megan Abbott,Hardcover,New,$28.00
b153,House Across the Lake,Riley Sager,Paperback,New,$18.00
b154,Fatal Illusion,Anna Lee Huber,Paperback,New,$17.00
b155,Killers of a Certain Age,Deanna Raybourn,Hardcover,Used,$27.00
b156,Dressed to Drill,Kate Carlisle,Not Specified,New,$8.99
b157,Arsenic & Adobo,Mia P Manansala,Paperback,Used,$17.00
b158,Homicide & Halo Halo,Mia P Manansala,Paperback,Used,$17.00
b159,The Midcoast,Adam White,Paperback,New,$18.00
b160,Bullet That Missed A Thursday Murder Club Mystery,Richard Osman,Hardcover,Used,$27.00
b161,Out,Natsuo Kirino,Paperback,New,$18.00
b162,Verifiers,Jane Pek,Paperback,Used,$17.00
